seed,ce_only_confusable,winning_confusable,confusable_fixed,confusable_newly,confusable_p,ce_only_correct,winning_correct,correct_p,ce_only_halluc,winning_halluc,halluc_p
1,79,65,29,15,0.048766765904474596,522,495,0.010817905625818625,242,268,0.01776578128038706
2,74,68,18,12,0.36159460805356514,524,508,0.10113634213880449,238,275,0.00021890976301036633
3,90,79,18,7,0.043285250663757324,513,503,0.36820161732669576,238,254,0.1092954297773143
4,78,66,20,8,0.03569813817739487,526,498,0.00972219403941885,235,255,0.04459752462791592
5,78,71,18,11,0.26493089646101,529,498,0.004553556466032557,243,264,0.03341672160209761
