name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
Conaz,Disopan,0.4067,0.2857,0.5278,
Conaz,Fenadin,0.4067,0.2857,0.5278,
Conaz,Ketoral,0.4067,0.2857,0.5278,
Conaz,Ketotab,0.4067,0.2857,0.5278,
Conaz,Montene,0.4067,0.2857,0.5278,
Diflu,Disopan,0.4067,0.2857,0.5278,
Disopan,Lumona,0.4067,0.2857,0.5278,
Disopan,Monas,0.4067,0.2857,0.5278,
Disopan,Vifas,0.4067,0.2857,0.5278,
Fenadin,Fexo,0.4067,0.2857,0.5278,
Fenadin,Monas,0.4067,0.2857,0.5278,
Fenadin,Renova,0.4067,0.2857,0.5278,
Fenadin,Tamen,0.4067,0.2857,0.5278,
Fexo,Ketocon,0.4067,0.2857,0.5278,
Fexo,Ketoral,0.4067,0.2857,0.5278,
Fexo,Ketotab,0.4067,0.2857,0.5278,
Ketotab,Metro,0.4067,0.2857,0.5278,
Metro,Zithrin,0.4067,0.2857,0.5278,
Nidazyl,Vifas,0.4067,0.2857,0.5278,
Provair,Rozith,0.4067,0.2857,0.5278,
Renova,Trilock,0.4067,0.2857,0.5278,
Tamen,Zithrin,0.4067,0.2857,0.5278,
Baclofen,Napa Extend,0.4067,0.2727,0.5407,
Fexo,Napa Extend,0.4057,0.1818,0.6296,
Azithrocin,Metsina,0.4056,0.2000,0.6111,
Azithrocin,Nizoder,0.4056,0.2000,0.6111,
Amodis,Ketozol,0.4048,0.1429,0.6667,
Amodis,Montene,0.4048,0.1429,0.6667,
Baclon,Ketozol,0.4048,0.1429,0.6667,
Baclon,Lucan-R,0.4048,0.1429,0.6667,
Bicozin,Fixal,0.4048,0.1429,0.6667,
Bicozin,Lucan-R,0.4048,0.1429,0.6667,
Bicozin,Metsina,0.4048,0.1429,0.6667,
Dancel,Disopan,0.4048,0.1429,0.6667,
Dancel,Ketoral,0.4048,0.1429,0.6667,
Dancel,Nizoder,0.4048,0.1429,0.6667,
Disopan,Ketozol,0.4048,0.1429,0.6667,
Disopan,Nidazyl,0.4048,0.1429,0.6667,
Disopan,Romycin,0.4048,0.1429,0.6667,
Esoral,Nidazyl,0.4048,0.1429,0.6667,
Esoral,Nizoder,0.4048,0.1429,0.6667,
Esoral,Zithrin,0.4048,0.1429,0.6667,
Etizin,Montene,0.4048,0.1429,0.6667,
Etizin,Nidazyl,0.4048,0.1429,0.6667,
Exium,Ketozol,0.4048,0.1429,0.6667,
Fenadin,Filmet,0.4048,0.1429,0.6667,
Fenadin,Nidazyl,0.4048,0.1429,0.6667,
Fenadin,Nizoder,0.4048,0.1429,0.6667,
Fenadin,Odmon,0.4048,0.1429,0.6667,
Fenadin,Opton,0.4048,0.1429,0.6667,
Ketocon,Trilock,0.4048,0.1429,0.6667,
Ketoral,Nidazyl,0.4048,0.1429,0.6667,
Ketoral,Nizoder,0.4048,0.1429,0.6667,
Ketozol,Nexum,0.4048,0.1429,0.6667,
Lucan-R,Montair,0.4048,0.1429,0.6667,
M-Kast,Metsina,0.4048,0.1429,0.6667,
M-Kast,Montene,0.4048,0.1429,0.6667,
Maxima,Romycin,0.4048,0.1429,0.6667,
Metsina,Odmon,0.4048,0.1429,0.6667,
Montene,Romycin,0.4048,0.1429,0.6667,
Nexum,Nidazyl,0.4048,0.1429,0.6667,
Nexum,Nizoder,0.4048,0.1429,0.6667,
Nizoder,Zithrin,0.4048,0.1429,0.6667,
Progut,Trilock,0.4048,0.1429,0.6667,
Rhinil,Trilock,0.4048,0.1429,0.6667,
Conaz,Nexum,0.4028,0.0000,0.8056,
Candinil,Ketocon,0.4025,0.0000,0.8050,
Dinafex,Flexilax,0.4006,0.1250,0.6762,
Axodin,Esonix,0.4000,0.3333,0.4667,
Azithrocin,Metro,0.4000,0.3000,0.5000,
Axodin,Baclon,0.4000,0.1667,0.6333,
Axodin,Exium,0.4000,0.1667,0.6333,
Axodin,Maxima,0.4000,0.1667,0.6333,
Axodin,Opton,0.4000,0.1667,0.6333,
Axodin,Progut,0.4000,0.1667,0.6333,
Dancel,Nexcap,0.4000,0.1667,0.6333,
Esonix,Exium,0.4000,0.1667,0.6333,
Exium,Maxpro,0.4000,0.1667,0.6333,
Fexo,Vifas,0.4000,0.0000,0.8000,
Fixal,Maxpro,0.4000,0.1667,0.6333,
Leptic,Montex,0.4000,0.1667,0.6333,
M-Kast,Montex,0.4000,0.1667,0.6333,
Maxima,Nexcap,0.4000,0.1667,0.6333,
Maxpro,Nexum,0.4000,0.1667,0.6333,
Canazole,Nexcap,0.3986,0.1250,0.6722,
Alatrol,Azyth,0.3984,0.2857,0.5111,
Atrizin,Tamen,0.3984,0.2857,0.5111,
Bacaid,Omastin,0.3984,0.2857,0.5111,
Conaz,Dinafex,0.3984,0.2857,0.5111,
Denixil,Diflu,0.3984,0.2857,0.5111,
Denixil,Renova,0.3984,0.2857,0.5111,
Dinafex,Monas,0.3984,0.2857,0.5111,
Dinafex,Vifas,0.3984,0.2857,0.5111,
Metro,Omastin,0.3984,0.2857,0.5111,
Monas,Telfast,0.3984,0.2857,0.5111,
Omastin,Tamen,0.3984,0.2857,0.5111,
Backtone,Etizin,0.3958,0.1250,0.6667,
Backtone,Fenadin,0.3958,0.1250,0.6667,
Backtone,Ketoral,0.3958,0.1250,0.6667,
Backtone,Ketotab,0.3958,0.1250,0.6667,
Backtone,Ketozol,0.3958,0.1250,0.6667,
Backtone,Lucan-R,0.3958,0.1250,0.6667,
Backtone,M-Kast,0.3958,0.1250,0.6667,
Backtone,Metsina,0.3958,0.1250,0.6667,
Bicozin,Canazole,0.3958,0.1250,0.6667,
Canazole,Esoral,0.3958,0.1250,0.6667,
Canazole,Ketoral,0.3958,0.1250,0.6667,
Canazole,Lucan-R,0.3958,0.1250,0.6667,
Canazole,M-Kast,0.3958,0.1250,0.6667,
Canazole,Maxima,0.3958,0.1250,0.6667,
Canazole,Rhinil,0.3958,0.1250,0.6667,
Conaz,Flexibac,0.3958,0.1250,0.6667,
Diflu,Flexibac,0.3958,0.1250,0.6667,
Amodis,Bicozin,0.3929,0.2857,0.5000,
Amodis,Fenadin,0.3929,0.2857,0.5000,
Amodis,Nizoder,0.3929,0.2857,0.5000,
Baclon,Trilock,0.3929,0.2857,0.5000,
Bicozin,Fenadin,0.3929,0.2857,0.5000,
Bicozin,Nidazyl,0.3929,0.2857,0.5000,
Bicozin,Nizoder,0.3929,0.2857,0.5000,
Bicozin,Odmon,0.3929,0.2857,0.5000,
Bicozin,Opton,0.3929,0.2857,0.5000,
Dancel,Montene,0.3929,0.2857,0.5000,
Disopan,Fixal,0.3929,0.2857,0.5000,
Disopan,Ketoral,0.3929,0.2857,0.5000,
Disopan,Ketotab,0.3929,0.2857,0.5000,
Disopan,Nizoder,0.3929,0.2857,0.5000,
Esoral,Metsina,0.3929,0.2857,0.5000,
Esoral,Provair,0.3929,0.2857,0.5000,
Etizin,Ketoral,0.3929,0.2857,0.5000,
Etizin,Ketotab,0.3929,0.2857,0.5000,
Exium,Metsina,0.3929,0.2857,0.5000,
Fenadin,Fixal,0.3929,0.2857,0.5000,
Fenadin,Leptic,0.3929,0.2857,0.5000,
Fenadin,Romycin,0.3929,0.2857,0.5000,
Fenadin,Zithrin,0.3929,0.2857,0.5000,
Filmet,Nizoder,0.3929,0.2857,0.5000,
Filmet,Trilock,0.3929,0.2857,0.5000,
Flugal,Ketoral,0.3929,0.2857,0.5000,
Ketocon,Romycin,0.3929,0.2857,0.5000,
Ketocon,Zithrin,0.3929,0.2857,0.5000,
Ketoral,Metsina,0.3929,0.2857,0.5000,
Ketoral,Opton,0.3929,0.2857,0.5000,
Ketoral,Zithrin,0.3929,0.2857,0.5000,
Ketotab,Leptic,0.3929,0.2857,0.5000,
Ketotab,Metsina,0.3929,0.2857,0.5000,
Ketotab,Opton,0.3929,0.2857,0.5000,
Ketozol,Opton,0.3929,0.2857,0.5000,
Ketozol,Sergel,0.3929,0.2857,0.5000,
Leptic,Metsina,0.3929,0.2857,0.5000,
Leptic,Montair,0.3929,0.2857,0.5000,
Metsina,Zithrin,0.3929,0.2857,0.5000,
Montair,Opton,0.3929,0.2857,0.5000,
Montair,Romycin,0.3929,0.2857,0.5000,
Opton,Romycin,0.3929,0.2857,0.5000,
Opton,Zithrin,0.3929,0.2857,0.5000,
Provair,Rhinil,0.3929,0.2857,0.5000,
Provair,Romycin,0.3929,0.2857,0.5000,
Romycin,Zithrin,0.3929,0.2857,0.5000,
Axodin,M-Kast,0.3917,0.0000,0.7833,
Napa,Nexum,0.3917,0.2000,0.5833,
Azithrocin,Cetisoft,0.3889,0.2000,0.5778,
Azithrocin,Esonix,0.3889,0.2000,0.5778,
Azithrocin,Maxpro,0.3889,0.2000,0.5778,
Azithrocin,Omastin,0.3889,0.2000,0.5778,
Azyth,Canazole,0.3889,0.2500,0.5278,
Bacaid,Canazole,0.3889,0.2500,0.5278,
Backtone,Conaz,0.3889,0.2500,0.5278,
Backtone,Lumona,0.3889,0.2500,0.5278,
Backtone,Tamen,0.3889,0.2500,0.5278,
Canazole,Renova,0.3889,0.2500,0.5278,
Renova,Ritch,0.3889,0.1667,0.6111,
Alatrol,Amodis,0.3881,0.1429,0.6333,
Alatrol,Leptic,0.3881,0.1429,0.6333,
Alatrol,Montair,0.3881,0.1429,0.6333,
Alatrol,Nidazyl,0.3881,0.1429,0.6333,
Atrizin,Disopan,0.3881,0.1429,0.6333,
Atrizin,Ketocon,0.3881,0.1429,0.6333,
Atrizin,Ketozol,0.3881,0.1429,0.6333,
Atrizin,Montair,0.3881,0.1429,0.6333,
Atrizin,Nidazyl,0.3881,0.1429,0.6333,
Atrizin,Odmon,0.3881,0.1429,0.6333,
Atrizin,Opton,0.3881,0.1429,0.6333,
Axodin,Ketotab,0.3881,0.1429,0.6333,
Axodin,Ketozol,0.3881,0.1429,0.6333,
Axodin,Montene,0.3881,0.1429,0.6333,
Bicozin,Denixil,0.3881,0.1429,0.6333,
Denixil,Flugal,0.3881,0.1429,0.6333,
Denixil,Ketocon,0.3881,0.1429,0.6333,
Denixil,Maxima,0.3881,0.1429,0.6333,
Denixil,Metsina,0.3881,0.1429,0.6333,
Disopan,Maxpro,0.3881,0.1429,0.6333,
Disopan,Omastin,0.3881,0.1429,0.6333,
Esonix,Romycin,0.3881,0.1429,0.6333,
Esonix,Zithrin,0.3881,0.1429,0.6333,
Etizin,Telfast,0.3881,0.1429,0.6333,
Fenadin,Montex,0.3881,0.1429,0.6333,
Flamyd,Omastin,0.3881,0.1429,0.6333,
Flamyd,Telfast,0.3881,0.1429,0.6333,
Ketozol,Maxpro,0.3881,0.1429,0.6333,
Ketozol,Nexcap,0.3881,0.1429,0.6333,
Ketozol,Telfast,0.3881,0.1429,0.6333,
Lucan-R,Maxpro,0.3881,0.1429,0.6333,
Maxpro,Metsina,0.3881,0.1429,0.6333,
Maxpro,Montair,0.3881,0.1429,0.6333,
Metsina,Montex,0.3881,0.1429,0.6333,
Metsina,Telfast,0.3881,0.1429,0.6333,
Montex,Nizoder,0.3881,0.1429,0.6333,
Nexcap,Nidazyl,0.3881,0.1429,0.6333,
Nexcap,Nizoder,0.3881,0.1429,0.6333,
Telfast,Trilock,0.3881,0.1429,0.6333,
Conaz,Flexilax,0.3879,0.1250,0.6508,
Diflu,Flexilax,0.3879,0.1250,0.6508,
Azithrocin,Opton,0.3861,0.3000,0.4722,
Azithrocin,Trilock,0.3861,0.3000,0.4722,
Alatrol,Baclon,0.3845,0.2857,0.4833,
Alatrol,Dancel,0.3845,0.2857,0.4833,
Alatrol,Opton,0.3845,0.2857,0.4833,
Axodin,Zithrin,0.3845,0.2857,0.4833,
Baclon,Omastin,0.3845,0.2857,0.4833,
Denixil,Esoral,0.3845,0.2857,0.4833,
Denixil,Leptic,0.3845,0.2857,0.4833,
Denixil,Montair,0.3845,0.2857,0.4833,
Denixil,Sergel,0.3845,0.2857,0.4833,
Dinafex,Disopan,0.3845,0.2857,0.4833,
Dinafex,Fenadin,0.3845,0.2857,0.4833,
Dinafex,Nizoder,0.3845,0.2857,0.4833,
Esonix,Fenadin,0.3845,0.2857,0.4833,
Esonix,Ketozol,0.3845,0.2857,0.4833,
Esonix,Montair,0.3845,0.2857,0.4833,
Ketoral,Nexcap,0.3845,0.2857,0.4833,
Ketotab,Nexcap,0.3845,0.2857,0.4833,
Leptic,Omastin,0.3845,0.2857,0.4833,
Omastin,Zithrin,0.3845,0.2857,0.4833,
Axodin,Maxpro,0.3833,0.1667,0.6000,
Bacmax,Esonix,0.3833,0.1667,0.6000,
Bacmax,Montex,0.3833,0.1667,0.6000,
Bacmax,Nexcap,0.3833,0.1667,0.6000,
Flexibac,Ketozol,0.3819,0.1250,0.6389,
Baclofen,Conaz,0.3806,0.2500,0.5111,
Candinil,Tamen,0.3806,0.2500,0.5111,
Cetisoft,Fexo,0.3806,0.2500,0.5111,
Cetisoft,Renova,0.3806,0.2500,0.5111,
Renova,Tridosil,0.3806,0.2500,0.5111,
Rivotril,Rozith,0.3806,0.2500,0.5111,
Rozith,Tridosil,0.3806,0.2500,0.5111,
Tridosil,Vifas,0.3806,0.2500,0.5111,
Dinafex,Telfast,0.3800,0.0000,0.7600,
Amodis,Cetisoft,0.3792,0.1250,0.6333,
Atrizin,Backtone,0.3792,0.1250,0.6333,
Axodin,Canazole,0.3792,0.1250,0.6333,
Baclofen,Ketoral,0.3792,0.1250,0.6333,
Baclofen,Ketozol,0.3792,0.1250,0.6333,
Bicozin,Candinil,0.3792,0.1250,0.6333,
Candinil,Lucan-R,0.3792,0.1250,0.6333,
Candinil,Odmon,0.3792,0.1250,0.6333,
Candinil,Opton,0.3792,0.1250,0.6333,
Cetisoft,Nizoder,0.3792,0.1250,0.6333,
Fenadin,Rivotril,0.3792,0.1250,0.6333,
Filmet,Rivotril,0.3792,0.1250,0.6333,
Flugal,Rivotril,0.3792,0.1250,0.6333,
Ketotab,Tridosil,0.3792,0.1250,0.6333,
Metsina,Tridosil,0.3792,0.1250,0.6333,
Progut,Rivotril,0.3792,0.1250,0.6333,
Rivotril,Sergel,0.3792,0.1250,0.6333,
Sergel,Tridosil,0.3792,0.1250,0.6333,
Dancel,Napa Extend,0.3779,0.1818,0.5741,
Leptic,Napa Extend,0.3779,0.1818,0.5741,
Maxima,Napa Extend,0.3779,0.1818,0.5741,
Napa Extend,Nidazyl,0.3779,0.1818,0.5741,
Esonix,Napa Extend,0.3779,0.0909,0.6648,
Beklo,Diflu,0.3778,0.2000,0.5556,
Conaz,Vifas,0.3778,0.2000,0.5556,
Metro,Monas,0.3778,0.2000,0.5556,
Bacaid,Napa Extend,0.3771,0.2727,0.4815,
Napa Extend,Tamen,0.3771,0.2727,0.4815,
Alatrol,Maxpro,0.3762,0.2857,0.4667,
Dinafex,Nidazyl,0.3762,0.2857,0.4667,
Esonix,Ketocon,0.3762,0.2857,0.4667,
Nexcap,Telfast,0.3762,0.2857,0.4667,
Ace,Amodis,0.3750,0.1667,0.5833,
Ace,M-Kast,0.3750,0.1667,0.5833,
Ace,Maxima,0.3750,0.1667,0.5833,
Ace,Sergel,0.3750,0.1667,0.5833,
Aceta,Flexibac,0.3750,0.2500,0.5000,
Canazole,Fenadin,0.3750,0.2500,0.5000,
Canazole,Montene,0.3750,0.2500,0.5000,
Dancel,Napa,0.3750,0.1667,0.5833,
Flexibac,Lumona,0.3750,0.2500,0.5000,
Flexibac,Renova,0.3750,0.2500,0.5000,
Leptic,Napa,0.3750,0.1667,0.5833,
Progut,Ritch,0.3750,0.1667,0.5833,
Alatrol,Axodin,0.3714,0.1429,0.6000,
Axodin,Denixil,0.3714,0.1429,0.6000,
Bacmax,Dinafex,0.3714,0.1429,0.6000,
Denixil,Telfast,0.3714,0.1429,0.6000,
Omastin,Telfast,0.3714,0.1429,0.6000,
Aceta,Flexilax,0.3710,0.2500,0.4921,
Flexilax,Lumona,0.3710,0.2500,0.4921,
Flexilax,Renova,0.3710,0.2500,0.4921,
Flexilax,Ketozol,0.3700,0.1250,0.6151,
Bicozin,Fexofast,0.3681,0.1250,0.6111,
Fexofast,Flamyd,0.3681,0.1250,0.6111,
Filmet,Flexibac,0.3681,0.1250,0.6111,
Flexibac,Lucan-R,0.3681,0.1250,0.6111,
Flexibac,Trilock,0.3681,0.1250,0.6111,
Denixil,Napa Extend,0.3677,0.0909,0.6444,
Beklo,Flexilax,0.3671,0.2500,0.4841,
Alatrol,Backtone,0.3667,0.2500,0.4833,
Amodis,Candinil,0.3667,0.2500,0.4833,
Amodis,Rivotril,0.3667,0.2500,0.4833,
Backtone,Maxpro,0.3667,0.2500,0.4833,
Baclofen,Dancel,0.3667,0.2500,0.4833,
Baclofen,Disopan,0.3667,0.2500,0.4833,
Baclofen,Filmet,0.3667,0.2500,0.4833,
Baclofen,Odmon,0.3667,0.2500,0.4833,
Baclofen,Opton,0.3667,0.2500,0.4833,
Baclofen,Trilock,0.3667,0.2500,0.4833,
Canazole,Cetisoft,0.3667,0.2500,0.4833,
Canazole,Dinafex,0.3667,0.2500,0.4833,
Candinil,Maxima,0.3667,0.2500,0.4833,
Cetisoft,Esoral,0.3667,0.2500,0.4833,
Cetisoft,Exium,0.3667,0.2500,0.4833,
Cetisoft,Filmet,0.3667,0.2500,0.4833,
Cetisoft,Ketoral,0.3667,0.2500,0.4833,
Cetisoft,Ketotab,0.3667,0.2500,0.4833,
Cetisoft,Leptic,0.3667,0.2500,0.4833,
Cetisoft,Opton,0.3667,0.2500,0.4833,
Cetisoft,Trilock,0.3667,0.2500,0.4833,
Disopan,Tridosil,0.3667,0.2500,0.4833,
Ketotab,Rivotril,0.3667,0.2500,0.4833,
Leptic,Rivotril,0.3667,0.2500,0.4833,
Nizoder,Tridosil,0.3667,0.2500,0.4833,
Provair,Tridosil,0.3667,0.2500,0.4833,
Rivotril,Romycin,0.3667,0.2500,0.4833,
Rivotril,Trilock,0.3667,0.2500,0.4833,
Tridosil,Zithrin,0.3667,0.2500,0.4833,
Ace,Maxpro,0.3667,0.1667,0.5667,
Ace,Nexcap,0.3667,0.1667,0.5667,
Montex,Napa,0.3667,0.1667,0.5667,
Beklo,Nexum,0.3639,0.2000,0.5278,
Fixal,Monas,0.3639,0.2000,0.5278,
Metro,Opton,0.3639,0.2000,0.5278,
Opton,Tamen,0.3639,0.2000,0.5278,
Montene,Napa Extend,0.3632,0.2727,0.4537,
Ace,Bicozin,0.3631,0.1429,0.5833,
Ace,Nidazyl,0.3631,0.1429,0.5833,
Ace,Nizoder,0.3631,0.1429,0.5833,
Ace,Romycin,0.3631,0.1429,0.5833,
Montene,Napa,0.3631,0.1429,0.5833,
Napa,Nizoder,0.3631,0.1429,0.5833,
Napa,Provair,0.3631,0.1429,0.5833,
Provair,Ritch,0.3631,0.1429,0.5833,
Alatrol,Tridosil,0.3625,0.1250,0.6000,
Atrizin,Cetisoft,0.3625,0.1250,0.6000,
Atrizin,Rivotril,0.3625,0.1250,0.6000,
Baclofen,Candinil,0.3625,0.1250,0.6000,
Baclofen,Telfast,0.3625,0.1250,0.6000,
Candinil,Montex,0.3625,0.1250,0.6000,
Cetisoft,Dinafex,0.3625,0.1250,0.6000,
Cetisoft,Omastin,0.3625,0.1250,0.6000,
Cetisoft,Tridosil,0.3625,0.1250,0.6000,
Dinafex,Tridosil,0.3625,0.1250,0.6000,
Atrizin,Napa Extend,0.3613,0.1818,0.5407,
Bacmax,Napa Extend,0.3613,0.1818,0.5407,
Aceta,M-Kast,0.3611,0.0000,0.7222,
Aceta,Nizoder,0.3611,0.0000,0.7222,
Bacaid,Ketocon,0.3611,0.0000,0.7222,
Bacaid,Ketoral,0.3611,0.0000,0.7222,
Bacaid,Ketotab,0.3611,0.0000,0.7222,
Bacaid,Ketozol,0.3611,0.0000,0.7222,
Bacaid,Progut,0.3611,0.0000,0.7222,
Beklo,Fixal,0.3611,0.0000,0.7222,
Conaz,Exium,0.3611,0.0000,0.7222,
Conaz,Maxima,0.3611,0.0000,0.7222,
Diflu,Flamyd,0.3611,0.0000,0.7222,
Diflu,Ketoral,0.3611,0.0000,0.7222,
Diflu,Ketozol,0.3611,0.0000,0.7222,
Fexo,M-Kast,0.3611,0.0000,0.7222,
Filmet,Lumona,0.3611,0.0000,0.7222,
Leptic,Progut,0.3611,0.0000,0.7222,
Metro,Nizoder,0.3611,0.0000,0.7222,
Monas,Nexum,0.3611,0.0000,0.7222,
Aceta,Rozith,0.3611,0.1667,0.5556,
Amodis,Fexofast,0.3611,0.2500,0.4722,
Conaz,Renova,0.3611,0.1667,0.5556,
Disopan,Fexofast,0.3611,0.2500,0.4722,
Etizin,Flexibac,0.3611,0.2500,0.4722,
Fenadin,Fexofast,0.3611,0.2500,0.4722,
Fenadin,Flexibac,0.3611,0.2500,0.4722,
Fexofast,Ketocon,0.3611,0.2500,0.4722,
Fexofast,Provair,0.3611,0.2500,0.4722,
Flexibac,Metsina,0.3611,0.2500,0.4722,
Monas,Renova,0.3611,0.1667,0.5556,
Renova,Rozith,0.3611,0.1667,0.5556,
Conaz,Napa Extend,0.3603,0.0909,0.6296,
Monas,Napa Extend,0.3603,0.0909,0.6296,
Flexilax,Lucan-R,0.3601,0.1250,0.5952,
Flexilax,Trilock,0.3601,0.1250,0.5952,
Atrizin,Baclofen,0.3583,0.2500,0.4667,
Axodin,Rivotril,0.3583,0.2500,0.4667,
Baclofen,Dinafex,0.3583,0.2500,0.4667,
Candinil,Esonix,0.3583,0.2500,0.4667,
Cetisoft,Disopan,0.3583,0.2500,0.4667,
Cetisoft,Esonix,0.3583,0.2500,0.4667,
Denixil,Rivotril,0.3583,0.2500,0.4667,
Esonix,Tridosil,0.3583,0.2500,0.4667,
Omastin,Rivotril,0.3583,0.2500,0.4667,
Maxpro,Napa Extend,0.3576,0.1818,0.5333,
Etizin,Flexilax,0.3571,0.2500,0.4643,
Fenadin,Flexilax,0.3571,0.2500,0.4643,
Flexilax,Ketotab,0.3571,0.2500,0.4643,
Flexilax,Metsina,0.3571,0.2500,0.4643,
Flexilax,Rhinil,0.3571,0.2500,0.4643,
Bacmax,Flexibac,0.3569,0.1250,0.5889,
Flexibac,Telfast,0.3569,0.1250,0.5889,
Azithrocin,Tridosil,0.3556,0.3000,0.4111,
Azithrocin,Esoral,0.3556,0.1000,0.6111,
Azithrocin,Sergel,0.3556,0.1000,0.6111,
Ace,Alatrol,0.3548,0.1429,0.5667,
Ace,Atrizin,0.3548,0.1429,0.5667,
Ace,Omastin,0.3548,0.1429,0.5667,
Denixil,Napa,0.3548,0.1429,0.5667,
Axodin,Flexibac,0.3514,0.1250,0.5778,
Baclofen,Fexofast,0.3514,0.1250,0.5778,
Bacmax,Fexofast,0.3514,0.1250,0.5778,
Denixil,Fexofast,0.3514,0.1250,0.5778,
Fexofast,Maxpro,0.3514,0.1250,0.5778,
Fexofast,Montex,0.3514,0.1250,0.5778,
Flexibac,Maxpro,0.3514,0.1250,0.5778,
Fexofast,Napa Extend,0.3510,0.0909,0.6111,
Flexibac,Napa Extend,0.3502,0.1818,0.5185,
Dinafex,Flexibac,0.3500,0.0000,0.7000,
Aceta,Ketozol,0.3492,0.1429,0.5556,
Aceta,Esoral,0.3472,0.1667,0.5278,
Aceta,Filmet,0.3472,0.1667,0.5278,
Aceta,Leptic,0.3472,0.1667,0.5278,
Amodis,Azyth,0.3472,0.1667,0.5278,
Amodis,Bacaid,0.3472,0.1667,0.5278,
Amodis,Conaz,0.3472,0.1667,0.5278,
Amodis,Lumona,0.3472,0.1667,0.5278,
Amodis,Tamen,0.3472,0.1667,0.5278,
Amodis,Vifas,0.3472,0.1667,0.5278,
Azyth,Dancel,0.3472,0.1667,0.5278,
Azyth,Maxima,0.3472,0.1667,0.5278,
Bacaid,Etizin,0.3472,0.1667,0.5278,
Bacaid,Fixal,0.3472,0.1667,0.5278,
Bacaid,Flamyd,0.3472,0.1667,0.5278,
Bacaid,Leptic,0.3472,0.1667,0.5278,
Bacaid,Maxima,0.3472,0.1667,0.5278,
Baclon,Conaz,0.3472,0.1667,0.5278,
Baclon,Diflu,0.3472,0.1667,0.5278,
Baclon,Fexo,0.3472,0.1667,0.5278,
Baclon,Lumona,0.3472,0.1667,0.5278,
Beklo,M-Kast,0.3472,0.1667,0.5278,
Beklo,Sergel,0.3472,0.1667,0.5278,
Conaz,Rhinil,0.3472,0.1667,0.5278,
Dancel,Renova,0.3472,0.1667,0.5278,
Diflu,Etizin,0.3472,0.1667,0.5278,
Diflu,Rhinil,0.3472,0.1667,0.5278,
Esoral,Fexo,0.3472,0.1667,0.5278,
Esoral,Flexibac,0.3472,0.2500,0.4444,
Esoral,Metro,0.3472,0.1667,0.5278,
Esoral,Vifas,0.3472,0.1667,0.5278,
Etizin,Metro,0.3472,0.1667,0.5278,
Etizin,Rozith,0.3472,0.1667,0.5278,
Etizin,Vifas,0.3472,0.1667,0.5278,
Exium,Rozith,0.3472,0.1667,0.5278,
Fexo,Filmet,0.3472,0.1667,0.5278,
Fexo,Flamyd,0.3472,0.1667,0.5278,
Filmet,Vifas,0.3472,0.1667,0.5278,
Flexibac,Ketoral,0.3472,0.2500,0.4444,
Flugal,Lumona,0.3472,0.1667,0.5278,
Flugal,Vifas,0.3472,0.1667,0.5278,
Leptic,Lumona,0.3472,0.1667,0.5278,
Lumona,Maxima,0.3472,0.1667,0.5278,
M-Kast,Metro,0.3472,0.1667,0.5278,
Maxima,Metro,0.3472,0.1667,0.5278,
Maxima,Rozith,0.3472,0.1667,0.5278,
Maxima,Tamen,0.3472,0.1667,0.5278,
Maxima,Vifas,0.3472,0.1667,0.5278,
Metro,Sergel,0.3472,0.1667,0.5278,
Monas,Rhinil,0.3472,0.1667,0.5278,
Nexum,Renova,0.3472,0.1667,0.5278,
Renova,Sergel,0.3472,0.1667,0.5278,
Rhinil,Rozith,0.3472,0.1667,0.5278,
Ace,Cetisoft,0.3458,0.1250,0.5667,
Candinil,Napa,0.3458,0.1250,0.5667,
Flexilax,Telfast,0.3450,0.1250,0.5651,
Conaz,Maxpro,0.3444,0.0000,0.6889,
Denixil,Tamen,0.3444,0.0000,0.6889,
Alatrol,Flexilax,0.3435,0.1250,0.5619,
Axodin,Flexilax,0.3435,0.1250,0.5619,
Candinil,Flexilax,0.3435,0.1250,0.5619,
Flexilax,Maxpro,0.3435,0.1250,0.5619,
Flexilax,Montex,0.3435,0.1250,0.5619,
Flexilax,Napa Extend,0.3422,0.1818,0.5026,
Axodin,Tridosil,0.3417,0.2500,0.4333,
Ace,Fexofast,0.3403,0.1250,0.5556,
Ace,Flexibac,0.3403,0.1250,0.5556,
Backtone,Napa Extend,0.3401,0.2727,0.4074,
Napa Extend,Opton,0.3401,0.2727,0.4074,
Esoral,Flexilax,0.3393,0.2500,0.4286,
Flexilax,Ketoral,0.3393,0.2500,0.4286,
Aceta,Maxpro,0.3389,0.1667,0.5111,
Aceta,Montex,0.3389,0.1667,0.5111,
Aceta,Nexcap,0.3389,0.1667,0.5111,
Axodin,Monas,0.3389,0.1667,0.5111,
Axodin,Rozith,0.3389,0.1667,0.5111,
Azyth,Maxpro,0.3389,0.1667,0.5111,
Bacaid,Maxpro,0.3389,0.1667,0.5111,
Bacaid,Nexcap,0.3389,0.1667,0.5111,
Bacmax,Conaz,0.3389,0.1667,0.5111,
Beklo,Maxpro,0.3389,0.1667,0.5111,
Beklo,Nexcap,0.3389,0.1667,0.5111,
Esonix,Fexo,0.3389,0.1667,0.5111,
Esonix,Lumona,0.3389,0.1667,0.5111,
Esonix,Renova,0.3389,0.1667,0.5111,
Esonix,Rozith,0.3389,0.1667,0.5111,
Maxpro,Tamen,0.3389,0.1667,0.5111,
Montex,Renova,0.3389,0.1667,0.5111,
Nexcap,Renova,0.3389,0.1667,0.5111,
