name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
Ace,Dancel,0.5417,0.5000,0.5833,
Backtone,Ketocon,0.5417,0.2500,0.8333,
Canazole,Fixal,0.5417,0.2500,0.8333,
Dancel,Tamen,0.5417,0.3333,0.7500,
Flexibac,Nexcap,0.5375,0.3750,0.7000,
Alatrol,Ketoral,0.5345,0.2857,0.7833,
Denixil,Ketozol,0.5345,0.2857,0.7833,
Denixil,Nexum,0.5345,0.2857,0.7833,
M-Kast,Omastin,0.5345,0.2857,0.7833,
Metsina,Omastin,0.5345,0.2857,0.7833,
Montene,Omastin,0.5345,0.2857,0.7833,
Esonix,Montex,0.5333,0.3333,0.7333,
Bacaid,Baclofen,0.5319,0.3750,0.6889,
Atrizin,Bicozin,0.5310,0.4286,0.6333,
Axodin,Fenadin,0.5310,0.4286,0.6333,
Dancel,Dinafex,0.5310,0.4286,0.6333,
Denixil,Etizin,0.5310,0.4286,0.6333,
Denixil,Rhinil,0.5310,0.4286,0.6333,
M-Kast,Telfast,0.5310,0.4286,0.6333,
Etizin,Tamen,0.5278,0.3333,0.7222,
Flexilax,Nexcap,0.5256,0.3750,0.6762,
M-Kast,Maxima,0.5250,0.1667,0.8833,
Aceta,Axodin,0.5233,0.1667,0.8800,
Backtone,Montene,0.5208,0.3750,0.6667,
Backtone,Opton,0.5208,0.3750,0.6667,
Canazole,Nizoder,0.5208,0.3750,0.6667,
Fexofast,Flexibac,0.5208,0.3750,0.6667,
Metro,Montene,0.5179,0.2857,0.7500,
Metsina,Monas,0.5179,0.2857,0.7500,
Nidazyl,Nizoder,0.5179,0.2857,0.7500,
Romycin,Rozith,0.5179,0.2857,0.7500,
Axodin,Backtone,0.5167,0.2500,0.7833,
Canazole,Denixil,0.5167,0.2500,0.7833,
Candinil,Montene,0.5167,0.2500,0.7833,
Candinil,Nidazyl,0.5167,0.2500,0.7833,
Cetisoft,Telfast,0.5167,0.2500,0.7833,
Ketoral,Tridosil,0.5167,0.2500,0.7833,
Ketozol,Tridosil,0.5167,0.2500,0.7833,
Provair,Rivotril,0.5167,0.2500,0.7833,
Ace,Azithrocin,0.5111,0.2000,0.8222,
Fexo,Maxpro,0.5111,0.3333,0.6889,
Fexo,Nexcap,0.5111,0.3333,0.6889,
Metro,Montex,0.5111,0.3333,0.6889,
Axodin,Omastin,0.5095,0.2857,0.7333,
Denixil,Esonix,0.5095,0.2857,0.7333,
M-Kast,Maxpro,0.5075,0.1667,0.8483,
Ritch,Trilock,0.5060,0.4286,0.5833,
Azithrocin,Bicozin,0.5056,0.4000,0.6111,
Maxpro,Metro,0.5056,0.5000,0.5111,
Denixil,Tridosil,0.5050,0.2500,0.7600,
Backtone,Bacmax,0.5042,0.3750,0.6333,
Candinil,Dancel,0.5042,0.3750,0.6333,
Cetisoft,Etizin,0.5042,0.3750,0.6333,
Cetisoft,Ketozol,0.5042,0.3750,0.6333,
Cetisoft,Metsina,0.5042,0.3750,0.6333,
Esoral,Rivotril,0.5042,0.3750,0.6333,
Rhinil,Rivotril,0.5042,0.3750,0.6333,
Rhinil,Tridosil,0.5042,0.3750,0.6333,
Azyth,Zithrin,0.5040,0.2857,0.7222,
Beklo,Ketozol,0.5040,0.2857,0.7222,
Bicozin,Conaz,0.5040,0.2857,0.7222,
Conaz,Lucan-R,0.5040,0.2857,0.7222,
Conaz,Nidazyl,0.5040,0.2857,0.7222,
Fexo,Ketozol,0.5040,0.2857,0.7222,
Ketocon,Tamen,0.5040,0.2857,0.7222,
Lumona,Metsina,0.5040,0.2857,0.7222,
Lumona,Montair,0.5040,0.2857,0.7222,
Montene,Tamen,0.5040,0.2857,0.7222,
Provair,Renova,0.5040,0.2857,0.7222,
Romycin,Tamen,0.5040,0.2857,0.7222,
Rozith,Zithrin,0.5040,0.2857,0.7222,
Esoral,Fixal,0.5000,0.3333,0.6667,
Etizin,Exium,0.5000,0.3333,0.6667,
Flamyd,Flugal,0.5000,0.3333,0.6667,
Leptic,Opton,0.5000,0.3333,0.6667,
Denixil,Nidazyl,0.4964,0.1429,0.8500,
Cetisoft,Fexofast,0.4944,0.2500,0.7389,
Bacaid,Beklo,0.4944,0.1667,0.8222,
Ace,Axodin,0.4933,0.1667,0.8200,
Exium,Flexibac,0.4931,0.3750,0.6111,
Flexibac,Leptic,0.4931,0.3750,0.6111,
Flexibac,Maxima,0.4931,0.3750,0.6111,
Alatrol,Azithrocin,0.4889,0.4000,0.5778,
Amodis,Metsina,0.4881,0.1429,0.8333,
Dancel,Ketozol,0.4881,0.1429,0.8333,
Disopan,Etizin,0.4881,0.1429,0.8333,
Disopan,Metsina,0.4881,0.1429,0.8333,
Fenadin,Montene,0.4881,0.1429,0.8333,
Fixal,Ketozol,0.4881,0.1429,0.8333,
Metsina,Romycin,0.4881,0.1429,0.8333,
Montair,Nizoder,0.4881,0.1429,0.8333,
Atrizin,Candinil,0.4875,0.3750,0.6000,
Axodin,Baclofen,0.4875,0.3750,0.6000,
Baclofen,Bacmax,0.4875,0.3750,0.6000,
Candinil,Tridosil,0.4875,0.3750,0.6000,
Aceta,Alatrol,0.4873,0.2857,0.6889,
Denixil,Fexo,0.4873,0.2857,0.6889,
Dinafex,Tamen,0.4873,0.2857,0.6889,
Monas,Omastin,0.4873,0.2857,0.6889,
Canazole,Monas,0.4861,0.2500,0.7222,
Exium,Flexilax,0.4851,0.3750,0.5952,
Flexilax,Maxima,0.4851,0.3750,0.5952,
Napa Extend,Nexum,0.4836,0.2727,0.6944,
Axodin,Etizin,0.4833,0.3333,0.6333,
Azithrocin,Rozith,0.4833,0.3000,0.6667,
Bacmax,Maxima,0.4833,0.3333,0.6333,
Exium,Nexcap,0.4833,0.3333,0.6333,
Fixal,Nexcap,0.4833,0.3333,0.6333,
Amodis,Omastin,0.4790,0.2857,0.6722,
Conaz,Montair,0.4782,0.4286,0.5278,
Ketocon,Metro,0.4782,0.4286,0.5278,
Ketozol,Metro,0.4782,0.4286,0.5278,
Beklo,Fexo,0.4778,0.4000,0.5556,
Diflu,Vifas,0.4778,0.4000,0.5556,
Monas,Vifas,0.4778,0.4000,0.5556,
Fexofast,Nexcap,0.4764,0.3750,0.5778,
Amodis,Montair,0.4762,0.2857,0.6667,
Amodis,Romycin,0.4762,0.2857,0.6667,
Baclon,Ketocon,0.4762,0.2857,0.6667,
Bicozin,Ketocon,0.4762,0.2857,0.6667,
Bicozin,Ketozol,0.4762,0.2857,0.6667,
